time;xpos;zpos
0;-7,61;0
0;-7,61;0
0,02;-7,61;0
0,03506359;-7,61;0
0,04651776;-7,61;0
0,06297719;-7,61;0
0,07695302;-7,61;0
0,09082484;-7,61;0
0,1047745;-7,61;0
0,1192286;-7,61;0
0,1336837;-7,61;0
0,1475946;-7,61;0
0,1615358;-7,61;0
0,1759796;-7,61;0
0,1900009;-7,61;0
0,2037643;-7,61;0
0,2179475;-7,61;0
0,2322101;-7,61;0
0,2456866;-7,61;0
0,2600058;-7,61;0
0,2739407;-7,61;0
0,2879285;-7,61;0
0,3015107;-7,61;0
0,3163615;-7,61;0
0,3296194;-7,61;0
0,3432789;-7,61;0
0,35756;-7,61;0
0,371604;-7,61;0
0,3855067;-7,61;0
0,3999359;-7,61;0
0,4135625;-7,611407;-0,0003479271
0,4275912;-7,613767;-0,0007818811
0,4410742;-7,619352;-0,001519479
0,4554214;-7,628963;-0,002022685
0,4694185;-7,641203;-0,00188129
0,5207831;-7,716927;0,01233644
0,5251918;-7,723364;0,01384791
0,5508672;-7,759995;0,02574366
0,5553991;-7,766358;0,02813425
0,5784546;-7,798217;0,041588
0,5923526;-7,817083;0,05045601
0,6063279;-7,835672;0,06014609
0,6202683;-7,853846;0,07048834
0,6341966;-7,871959;0,08090177
0,6479684;-7,88945;0,09189178
0,6618446;-7,906968;0,1031328
0,6758729;-7,925036;0,1139176
0,689838;-7,942852;0,1249356
0,7037514;-7,960631;0,1358659
0,717667;-7,977986;0,1474642
0,731561;-7,995433;0,1588632
0,7452853;-8,012404;0,170516
0,7593155;-8,029486;0,1828096
0,7732787;-8,046192;0,1954421
0,7871583;-8,062342;0,2085808
0,8012523;-8,078349;0,22239
0,8149529;-8,09348;0,236297
0,8288307;-8,108516;0,2506936
0,8428804;-8,123562;0,2654502
0,8566791;-8,138374;0,2799075
0,8705245;-8,153354;0,294293
0,8844364;-8,168912;0,3081997
0,898501;-8,184855;0,3220167
0,9122264;-8,200543;0,3353479
0,926174;-8,217325;0,3478405
0,9401859;-8,23463;0,359769
0,9541166;-8,252503;0,3705937
0,9681309;-8,270909;0,3807488
0,9819895;-8,289513;0,3900258
0,9957869;-8,308724;0,397723
1,009721;-8,328417;0,4047292
1,023696;-8,348569;0,4105012
1,037568;-8,368713;0,4157116
1,051544;-8,389308;0,4196334
1,065434;-8,409925;0,4226372
1,079233;-8,430466;0,4251852
1,093268;-8,451413;0,4272966
1,107222;-8,472296;0,428712
1,121096;-8,493076;0,4298129
1,135052;-8,513991;0,4307415
1,148851;-8,534668;0,4316756
1,162709;-8,555442;0,432391
1,17673;-8,576469;0,4328199
1,190673;-8,597383;0,4330479
1,204628;-8,618315;0,433176
1,218652;-8,63935;0,4332618
1,232545;-8,660189;0,4332925
1,24621;-8,680687;0,4332547
1,260164;-8,701618;0,4331352
1,274188;-8,722652;0,4329122
1,288129;-8,743561;0,4325619
1,302065;-8,764459;0,4320183
1,316083;-8,78547;0,431241
1,329948;-8,806231;0,4300035
1,34372;-8,826756;0,427676
1,357672;-8,844345;0,4234769
1,371709;-8,844978;0,4230105
1,385576;-8,844978;0,4230105
1,39948;-8,844978;0,4230105
1,413369;-8,844978;0,4230105
1,427354;-8,844978;0,4230105
1,441283;-8,844978;0,4230105
1,455288;-8,844978;0,4230105
1,469197;-8,844978;0,4230105
1,483161;-8,844978;0,4230105
1,497101;-8,844978;0,4230105
1,510951;-8,844978;0,4230105
1,52502;-8,844978;0,4230105
1,53891;-8,844978;0,4230105
1,55281;-8,844978;0,4230105
1,56679;-8,844978;0,4230105
1,580693;-8,844978;0,4230105
1,594685;-8,844978;0,4230105
1,608656;-8,844978;0,4230105
1,622682;-8,844978;0,4230105
1,63671;-8,844978;0,4230105
1,650518;-8,844978;0,4230105
1,664463;-8,844978;0,4230105
1,678218;-8,844978;0,4230105
1,692221;-8,844978;0,4230105
1,706107;-8,844978;0,4230105
1,720049;-8,844978;0,4230105
1,733992;-8,844978;0,4230105
1,747825;-8,844978;0,4230105
1,761715;-8,844978;0,4230105
1,7757;-8,844978;0,4230105
1,789579;-8,844978;0,4230105
1,803547;-8,844978;0,4230105
1,817471;-8,844978;0,4230105
1,831405;-8,844978;0,4230105
1,845053;-8,844978;0,4230105
1,859121;-8,844978;0,4230105
1,873018;-8,844978;0,4230105
1,886989;-8,844978;0,4230105
1,900929;-8,844978;0,4230105
1,914656;-8,844978;0,4230105
1,928529;-8,844978;0,4230105
1,942444;-8,844978;0,4230105
1,956515;-8,844978;0,4230105
1,970391;-8,844978;0,4230105
1,984219;-8,844978;0,4230105
1,998153;-8,844978;0,4230105
2,012022;-8,844978;0,4230105
2,026215;-8,844978;0,4230105
2,041055;-8,844978;0,4230105
2,055656;-8,844978;0,4230105
2,069997;-8,844978;0,4230105
