time;xpos;zpos
0;-7,61;0
0;-7,61;0
0,02;-7,61;0
0,03512068;-7,61;0
0,04620036;-7,61;0
0,05770172;-7,61;0
0,07416786;-7,61;0
0,08814495;-7,61;0
0,1032179;-7,61;0
0,1178275;-7,61;0
0,1323275;-7,61;0
0,1476351;-7,61;0
0,162376;-7,61;0
0,1770501;-7,61;0
0,1908415;-7,61;0
0,205519;-7,61;0
0,2200536;-7,61;0
0,2341465;-7,61;0
0,2484788;-7,61;0
0,2626945;-7,61;0
0,2769457;-7,61;0
0,2906408;-7,61;0
0,3049448;-7,61;0
0,3192299;-7,61;0
0,3328114;-7,61;0
0,3470166;-7,61;0
0,3613288;-7,61;0
0,3748477;-7,61;0
0,3891526;-7,61;0
0,4034371;-7,61;0
0,416962;-7,61;0
0,4305046;-7,61;0
0,4449964;-7,61;0
0,4586988;-7,61;0
0,4723896;-7,61;0
0,4865085;-7,61;0
0,5002142;-7,61;0
0,5137269;-7,61;0
0,5281578;-7,61;0
0,5419482;-7,61;0
0,5557736;-7,61;0
0,5699071;-7,61;0
0,5833563;-7,61;0
0,5969918;-7,61;0
0,610855;-7,61;0
0,6247445;-7,61;0
0,6385058;-7,61;0
0,6521617;-7,61;0
0,6662245;-7,61;0
0,6801105;-7,61;0
0,6937901;-7,61;0
0,7078884;-7,61;0
0,721891;-7,61;0
0,7359858;-7,61;0
0,7499804;-7,61;0
0,7638931;-7,61;0
0,7779577;-7,619545;-0,006259341
0,7955754;-7,639113;-0,01807868
0,8057533;-7,652214;-0,02591844
0,8194901;-7,669694;-0,036828
0,832412;-7,686146;-0,04707557
0,8464459;-7,70396;-0,05829164
0,8610516;-7,722628;-0,06975896
0,8742379;-7,739523;-0,08004475
0,8884602;-7,757771;-0,09109615
0,9029749;-7,776452;-0,1022774
0,9167089;-7,793899;-0,1132319
0,9300922;-7,81081;-0,1240505
0,9442779;-7,82878;-0,1354454
0,9584845;-7,846853;-0,1467362
0,972033;-7,864174;-0,1573651
0,986094;-7,88226;-0,1682161
1,000022;-7,900288;-0,1787764
1,013591;-7,917959;-0,1888751
1,028113;-7,937018;-0,1994213
1,041606;-7,954866;-0,2089656
1,055122;-7,972923;-0,218185
1,06983;-7,992816;-0,2277241
1,083673;-8,011923;-0,2358545
1,097111;-8,030747;-0,2430636
1,110835;-8,0502;-0,2497978
1,125108;-8,070666;-0,2560847
1,138911;-8,090709;-0,261277
1,152413;-8,110505;-0,2655589
1,166574;-8,131461;-0,2690228
1,181124;-8,153126;-0,2716576
1,194265;-8,172776;-0,2732247
1,208072;-8,193482;-0,2736501
1,222073;-8,214477;-0,273118
1,235643;-8,234753;-0,2713325
1,250023;-8,256167;-0,2687485
1,263801;-8,276615;-0,265738
1,277339;-8,296632;-0,2623196
1,290938;-8,316648;-0,2583837
1,305189;-8,337508;-0,2537123
1,318882;-8,357472;-0,2488865
1,332383;-8,180328;-0,4027885
1,346948;-8,191154;-0,3838111
1,360799;-8,201208;-0,365629
1,374179;-8,210754;-0,347974
1,387692;-8,220335;-0,330113
1,400661;-8,229651;-0,3130346
1,413749;-8,239589;-0,296103
1,427326;-8,250438;-0,2788687
1,441124;-8,261596;-0,2614375
1,454306;-8,272552;-0,2449763
1,468036;-8,284428;-0,2281505
1,487217;-8,302008;-0,2053756
1,495646;-8,310064;-0,1956319
1,509279;-8,323503;-0,180216
1,523218;-8,337531;-0,1647137
1,53701;-8,352634;-0,1505737
1,550999;-8,368409;-0,1367372
1,564815;-8,3846;-0,1238022
1,578645;-8,400983;-0,1110742
1,592661;-8,417652;-0,09826333
1,606575;-8,434282;-0,0856522
1,620634;-8,451327;-0,07323387
1,634316;-8,4687;-0,06230835
1,648342;-8,486928;-0,05180067
1,66239;-8,506221;-0,04332529
1,6764;-8,526066;-0,03641092
1,69093;-8,547356;-0,03174565
