time;xpos;zpos
0;-7,61;0
3,537754;-7,61;0
3,551841;-7,61;0
3,565871;-7,61047;-0,002698371
3,579694;-7,611342;-0,01006149
3,593653;-7,612443;-0,02227124
3,623422;-7,614083;-0,06374279
3,635677;-7,614601;-0,08211822
3,645562;-7,614956;-0,09694115
3,657636;-7,614486;-0,115046
3,672922;-7,613809;-0,1379642
3,687114;-7,612707;-0,1592242
3,701308;-7,611487;-0,1804807
3,716043;-7,609799;-0,2025182
3,730173;-7,60802;-0,223639
3,744454;-7,606132;-0,2449771
3,758448;-7,604158;-0,2658746
3,77289;-7,601947;-0,2874244
3,787112;-7,59958;-0,308626
3,800956;-7,597078;-0,3292404
3,815408;-7,594207;-0,3507273
3,829179;-7,591306;-0,3711794
3,843043;-7,588201;-0,3917424
3,856844;-7,584938;-0,4121843
3,871089;-7,58145;-0,4332665
3,88511;-7,577893;-0,4539936
3,898817;-7,574373;-0,4742516
3,913117;-7,570679;-0,4953803
3,926835;-7,567092;-0,5156422
3,940633;-7,56349;-0,5360236
3,954825;-7,559796;-0,5569891
3,968864;-7,556217;-0,5777417
3,983031;-7,553297;-0,5987905
3,99631;-7,551164;-0,6185935
4,010358;-7,549026;-0,639558
4,024406;-7,546986;-0,6605307
4,038146;-7,545029;-0,6810467
4,052207;-7,543163;-0,7020566
4,066099;-7,541704;-0,722843
4,079782;-7,540443;-0,7433285
4,093909;-7,539235;-0,7644852
4,107925;-7,537945;-0,7854697
4,121665;-7,536559;-0,8060326
4,135424;-7,535136;-0,826621
4,149696;-7,533585;-0,8479736
4,163678;-7,532103;-0,8688944
4,177113;-7,530598;-0,8889901
4,191323;-7,529046;-0,9102491
4,205357;-7,527634;-0,9312526
4,219101;-7,526614;-0,9518437
4,233111;-7,525391;-0,9728221
4,247162;-7,523943;-0,9938496
4,26071;-7,522365;-1,014109
4,274959;-7,520498;-1,035401
4,288983;-7,518491;-1,056341
4,302898;-7,516313;-1,0771
4,316614;-7,513977;-1,09754
4,330799;-7,511384;-1,11866
4,344529;-7,508684;-1,139077
4,358298;-7,505803;-1,159529
4,372563;-7,50265;-1,180694
4,386523;-7,499425;-1,201383
4,400061;-7,496165;-1,221426
4,414287;-7,492578;-1,242462
4,428089;-7,48896;-1,262846
4,442179;-7,4851;-1,283626
4,455736;-7,481239;-1,303591
4,469962;-7,477094;-1,324524
4,484018;-7,472926;-1,345192
4,497799;-7,468694;-1,365426
4,511734;-7,464319;-1,385865
4,5257;-7,459787;-1,406317
4,539272;-7,455244;-1,426162
4,553516;-7,450319;-1,446953
4,567482;-7,445339;-1,467301
4,581283;-7,440288;-1,487377
4,595268;-7,435028;-1,507685
4,609245;-7,429647;-1,527949
4,623186;-7,424148;-1,548124
4,63674;-7,418729;-1,567719
4,650873;-7,412981;-1,588124
4,664961;-7,407229;-1,608459
4,678493;-7,40168;-1,627983
4,692615;-7,39605;-1,648404
4,706592;-7,390384;-1,668589
4,720206;-7,38517;-1,688334
4,734425;-7,380188;-1,709072
4,748878;-7,375411;-1,730219
4,762467;-7,371188;-1,750161
4,775917;-7,367503;-1,769996
4,790166;-7,364762;-1,791193
4,804084;-7,362611;-1,811959
4,817799;-7,361143;-1,832478
4,832063;-7,359859;-1,853837
4,845975;-7,358816;-1,874678
4,859447;-7,357968;-1,894868
4,873563;-7,357277;-1,916031
4,887615;-7,357228;-1,937109
4,90127;-7,357345;-1,957592
4,915418;-7,357906;-1,978805
4,929384;-7,359226;-1,999714
4,943316;-7,360723;-2,020557
4,95689;-7,362121;-2,040871
4,971074;-7,363564;-2,062097
4,985031;-7,364848;-2,082994
4,99878;-7,365963;-2,103587
5,012931;-7,367046;-2,124786
5,026814;-7,367987;-2,145589
5,040485;-7,368729;-2,166082
5,05483;-7,369373;-2,18759
5,068677;-7,369871;-2,208355
5,082766;-7,370258;-2,229485
5,096165;-7,370486;-2,249583
5,110261;-7,37059;-2,270726
5,124249;-7,370564;-2,291708
5,138011;-7,370396;-2,31235
5,152128;-7,370128;-2,333523
5,166197;-7,369709;-2,354624
5,179793;-7,369147;-2,37501
5,193839;-7,368275;-2,396061
5,207959;-7,366995;-2,417202
5,221714;-7,365572;-2,437785
5,235264;-7,363543;-2,458009
5,249605;-7,360579;-2,479314
5,263515;-7,357096;-2,499888
5,276993;-7,352927;-2,51967
5,291271;-7,34832;-2,540585
5,305194;-7,34318;-2,560827
5,319007;-7,337655;-2,580797
5,333031;-7,331724;-2,60098
5,347152;-7,325166;-2,62112
5,360572;-7,318408;-2,640082
5,374658;-7,31088;-2,659824
