time;xpos;zpos
0;-7,61;0
0;-7,61;0
0,02;-7,61;0
0,02722349;-7,61;0
0,03992917;-7,61;0
0,0544988;-7,61;0
0,06891948;-7,61;0
0,08394609;-7,61;0
0,09850797;-7,61;0
0,1129393;-7,61;0
0,1271771;-7,61;0
0,1415782;-7,61;0
0,1559661;-7,61;0
0,1701777;-7,61;0
0,1839456;-7,61;0
0,1984584;-7,61;0
0,2125991;-7,61;0
0,2264736;-7,61;0
0,2408753;-7,61;0
0,2552252;-7,61;0
0,2689282;-7,61;0
0,2833133;-7,61;0
0,29742;-7,61;0
0,311512;-7,61;0
0,3250373;-7,61;0
0,3436079;-7,61;0
0,3531749;-7,61;0
0,3659313;-7,61;0
0,3804021;-7,61;0
0,3944498;-7,61;0
0,408305;-7,61;0
0,4225966;-7,61;0
0,4366168;-7,61;0
0,4506878;-7,61;0
0,4641656;-7,61;0
0,4785108;-7,61;0
0,492305;-7,61;0
0,5059038;-7,61;0
0,5201287;-7,61;0
0,5341755;-7,61;0
0,54791;-7,61;0
0,562109;-7,61;0
0,5757521;-7,61;0
0,5895487;-7,61;0
0,6034462;-7,61;0
0,6175386;-7,61;0
0,631425;-7,61;0
0,6452149;-7,61;0
0,659268;-7,61;0
0,6731843;-7,61;0
0,6869102;-7,61;0
0,7008945;-7,61;0
0,715014;-7,61;0
0,7285781;-7,61;0
0,7428219;-7,61;0
0,7566223;-7,61;0
0,7705899;-7,612896;0,01064302
0,7927899;-7,623384;0,04224864
0,7985107;-7,62612;0,05038174
0,8104765;-7,632026;0,06733123
0,8241131;-7,638747;0,08665032
0,8383999;-7,646262;0,1067197
0,8526541;-7,653801;0,1267277
0,8665184;-7,66108;0,1462086
0,8807725;-7,668482;0,1662675
0,8950827;-7,676099;0,186336
0,9088493;-7,683244;0,2057105
0,9233278;-7,690499;0,2261805
0,9374408;-7,697407;0,2461912
0,9514449;-7,704014;0,2661313
0,9649901;-7,710305;0,2854503
0,9792321;-7,716672;0,3058425
0,9929848;-7,722631;0,325592
1,006755;-7,728361;0,3454363
1,020955;-7,734141;0,3659376
1,034825;-7,739571;0,3860207
1,048749;-7,744807;0,4062404
1,063047;-7,749985;0,4270526
1,076766;-7,75478;0,4470644
1,090466;-7,759412;0,4670865
1,104079;-7,763847;0,4870188
1,118323;-7,768364;0,5079009
1,132559;-7,772752;0,5288
1,146054;-7,776803;0,5486327
1,160207;-7,780958;0,5694519
1,174282;-7,784967;0,5901801
1,188072;-7,788838;0,6104996
1,202106;-7,792701;0,6311935
1,216038;-7,796482;0,6517465
1,230004;-7,800229;0,672357
1,243776;-7,803861;0,6926937
1,257618;-7,807455;0,7131431
1,271815;-7,811103;0,7341244
1,285473;-7,81455;0,7543187
1,299649;-7,818046;0,7752939
1,313726;-7,821517;0,7961213
1,327233;-7,824812;0,8161126
1,341336;-7,828264;0,836984
1,35537;-7,831714;0,8577492
1,368894;-7,835109;0,8777494
1,383312;-7,838727;0,8990717
1,397297;-7,842256;0,91975
1,411225;-7,845753;0,9403483
1,424782;-7,84908;0,9604098
1,438919;-7,852402;0,9813535
1,452852;-7,855293;1,002051
1,466619;-7,857888;1,022539
1,480855;-7,86023;1,043763
1,494962;-7,861931;1,064855
1,508471;-7,863173;1,085082
1,522802;-7,863681;1,106571
1,536667;-7,863782;1,127369
1,550536;-7,863591;1,148171
1,564245;-7,863194;1,168731
1,578481;-7,862579;1,190077
1,592367;-7,861754;1,210889
1,605995;-7,860668;1,231301
1,620189;-7,859091;1,252534
1,634168;-7,857112;1,273409
1,647927;-7,854827;1,293922
1,662261;-7,852011;1,315237
1,6762;-7,848917;1,335915
1,689938;-7,845406;1,356221
1,70385;-7,841447;1,37671
1,718106;-7,836919;1,397608
1,731971;-7,832171;1,417857
1,74569;-7,827214;1,43783
1,759746;-7,821579;1,458147
