time;xpos;zpos
0;-7,61;0
0;-7,61;0
0,02;-7,61;0
0,03463208;-7,61;0
0,04132719;-7,61;0
0,05610771;-7,61;0
0,07065547;-7,61;0
0,08510443;-7,61;0
0,09999865;-7,61;0
0,1143938;-7,61;0
0,1286663;-7,61;0
0,142619;-7,61;0
0,1571521;-7,61;0
0,1713377;-7,61;0
0,1852504;-7,61;0
0,1997648;-7,61;0
0,2137058;-7,61;0
0,2278477;-7,61;0
0,2422743;-7,61;0
0,2559871;-7,61;0
0,2699507;-7,61;0
0,2837127;-7,61;0
0,2979931;-7,61;0
0,3120454;-7,61;0
0,3258784;-7,61;0
0,3401893;-7,61;0
0,3539785;-7,61;0
0,3679954;-7,61;0
0,3815536;-7,61;0
0,3957331;-7,61;0
0,4097888;-7,61;0
0,4233759;-7,61;0
0,4375755;-7,61;0
0,4515426;-7,61;0
0,4650783;-7,61;0
0,4791423;-7,61;0
0,4930541;-7,61;0
0,5071074;-7,61;0
0,5208407;-7,61;0
0,534937;-7,61;0
0,5490223;-7,61;0
0,5623991;-7,61;0
0,5765932;-7,61;0
0,5905819;-7,620259;0,006025186
0,6402112;-7,686459;0,04007613
0,6462627;-7,694496;0,04429553
0,6585035;-7,710778;0,05278223
0,6736691;-7,730975;0,06325043
0,6894394;-7,751997;0,07409555
0,7045896;-7,772235;0,08443414
0,7205777;-7,793597;0,09533387
0,7360823;-7,814363;0,1058052
0,7506995;-7,834023;0,1155114
0,765157;-7,853698;0,1246323
0,7800917;-7,8743;0,1334311
0,7944859;-7,894156;0,1419114
0,8090143;-7,914165;0,1505484
0,8231027;-7,933539;0,1589875
0,83791;-7,953426;0,1688772
0,8522984;-7,96918;0,1792723
0,8660835;-7,9767;0,1872696
0,880451;-8,065303;0,3040715
0,8945485;-8,062755;0,3058576
0,9087007;-8,05511;0,3074102
0,9224004;-8,043122;0,3089081
0,9732561;-7,9671;0,3025983
0,9787767;-7,958862;0,3017548
0,9855823;-7,948837;0,2998305
0,9954501;-7,934626;0,2956893
1,009357;-7,914773;0,2892817
1,023277;-7,895229;0,2819349
1,037495;-7,875772;0,2732015
1,052657;-7,855955;0,2620435
1,067954;-7,836138;0,2504762
1,083119;-7,817372;0,2376215
1,098292;-7,809916;0,2293273
1,112922;-7,809916;0,2293273
1,127603;-7,809916;0,2293273
1,141922;-7,809916;0,2293273
1,156797;-7,809916;0,2293273
1,171134;-7,809916;0,2293273
1,185079;-7,809916;0,2293273
1,199816;-7,809916;0,2293273
1,213618;-7,809916;0,2293273
1,227731;-7,809916;0,2293273
1,241578;-7,809916;0,2293273
1,255904;-7,809916;0,2293273
1,270154;-7,809916;0,2293273
1,283918;-7,809061;0,2279057
1,298085;-7,805954;0,2232998
1,311982;-7,800581;0,2155644
1,325644;-7,790269;0,2013926
1,376526;-7,745739;0,1394066
1,381925;-7,741048;0,1328054
1,388562;-7,273835;0,2796006
1,399343;-7,283015;0,2929129
1,413008;-7,294747;0,3097206
1,426972;-7,311904;0,3217366
1,441017;-7,330896;0,3308534
1,455479;-7,350871;0,3393149
1,470489;-7,371553;0,3482118
1,485376;-7,393416;0,3527582
1,501233;-7,417187;0,3536026
1,51638;-7,439907;0,3534936
1,530732;-7,461323;0,3512952
1,544846;-7,482306;0,3484771
1,55972;-7,504429;0,3455948
1,574187;-7,525882;0,3423204
1,588764;-7,547255;0,3377061
1,602739;-7,567456;0,3321055
1,617401;-7,588207;0,3248215
1,631471;-7,607714;0,3167632
1,645098;-7,625367;0,3064585
1,65963;-7,644116;0,295341
1,673666;-7,662108;0,2844049
1,687779;-7,678478;0,2709838
1,701457;-7,692223;0,2557514
1,715822;-7,703518;0,2374008
1,729746;-7,711759;0,2182097
1,743464;-7,718521;0,1987756
1,757661;-7,723113;0,1779816
1,771884;-7,723734;0,1566551
1,78553;-7,72254;0,1362217
