time;xpos;zpos
0;-7,61;0
0;-7,61;0
0,02;-7,61;0
0,03452474;-7,61;0
0,04121266;-7,61;0
0,05551224;-7,61;0
0,06988578;-7,61;0
0,08434437;-7,61;0
0,09836969;-7,61;0
0,1130068;-7,61;0
0,1278607;-7,61;0
0,1415255;-7,61;0
0,1554372;-7,61;0
0,1698539;-7,61;0
0,1840023;-7,61;0
0,1977324;-7,61;0
0,2120499;-7,61;0
0,2262656;-7,61;0
0,2400465;-7,61;0
0,2542889;-7,61;0
0,2683957;-7,61;0
0,2821658;-7,61;0
0,2958432;-7,61;0
0,3098969;-7,61;0
0,324087;-7,61;0
0,3377587;-7,61;0
0,3520272;-7,61;0
0,3660358;-7,61;0
0,3794923;-7,61;0
0,3957268;-7,61;0
0,4077327;-7,61;0
0,4213586;-7,61;0
0,4352153;-7,61;0
0,4494441;-7,61;0
0,4634615;-7,61;0
0,4770017;-7,61;0
0,4911691;-7,61;0
0,5053902;-7,61;0
0,5189928;-7,61;0
0,533231;-7,61;0
0,5469754;-7,61;0
0,5607869;-7,61;0
0,5748649;-7,61;0
0,5889469;-7,61;0
0,6029795;-7,61;0
0,6166735;-7,61;0
0,6306812;-7,61;0
0,6446277;-7,610482;-0,003793016
0,6583984;-7,610972;-0,01084092
0,6725386;-7,61056;-0,02298503
0,7183352;-7,597872;-0,09049796
0,7284271;-7,595173;-0,1053933
0,7358667;-7,593334;-0,1164
0,7443281;-7,591255;-0,1289207
0,7591836;-7,586934;-0,1507811
0,7741505;-7,582058;-0,1726954
0,7896684;-7,576642;-0,1953332
0,8048687;-7,571044;-0,217436
0,8194229;-7,565429;-0,2385327
0,8345835;-7,558791;-0,2602832
0,8489695;-7,552078;-0,2807917
0,8635375;-7,5449;-0,3014309
0,8777969;-7,53792;-0,3216489
0,8926246;-7,530289;-0,3425406
0,9068803;-7,522167;-0,3623215
0,9207991;-7,513962;-0,38152
0,9353381;-7,505391;-0,4015738
0,9492805;-7,496951;-0,4207085
0,9635232;-7,487897;-0,4400592
0,9772615;-7,47874;-0,4585207
0,9917213;-7,46897;-0,4778853
1,00576;-7,45947;-0,4966784
1,019663;-7,450048;-0,515284
1,033921;-7,440398;-0,5343691
1,047689;-7,431084;-0,552802
1,061676;-7,421618;-0,571525
1,075519;-7,412237;-0,5900509
1,089749;-7,402602;-0,6090959
1,103804;-7,393102;-0,6279179
1,117414;-7,384031;-0,6462072
1,13134;-7,374896;-0,6649917
1,145472;-7,365973;-0,6842214
1,159284;-7,35797;-0,7033299
1,173478;-7,349848;-0,7230124
1,187334;-7,34215;-0,7423173
1,201049;-7,334687;-0,761489
1,215098;-7,327166;-0,7811737
1,229034;-7,319913;-0,8007793
1,242995;-7,312931;-0,8205228
1,256824;-7,3062;-0,8401443
1,270836;-7,299593;-0,8600957
1,285;-7,293142;-0,880339
1,298285;-7,287147;-0,8993431
1,312489;-7,280793;-0,9196808
1,326593;-7,274465;-0,9398671
1,340203;-7,268365;-0,9593507
1,354319;-7,262022;-0,9795517
1,368423;-7,255659;-0,9997275
1,382097;-7,249443;-1,019274
1,39585;-7,243149;-1,038921
1,410103;-7,23655;-1,059256
1,424145;-7,229987;-1,079271
1,437755;-7,223512;-1,098632
1,452085;-7,216598;-1,118985
1,46596;-7,209776;-1,138647
1,479395;-7,203068;-1,15765
1,493579;-7,195842;-1,177661
1,507573;-7,188603;-1,197366
1,521543;-7,181248;-1,216986
1,535169;-7,173958;-1,236081
1,549069;-7,166408;-1,255516
1,563049;-7,158692;-1,275015
1,576759;-7,151015;-1,294094
1,590807;-7,143054;-1,313604
1,604971;-7,134867;-1,33321
1,618631;-7,126857;-1,352068
1,632746;-7,118416;-1,371486
1,646596;-7,109808;-1,390393
1,660221;-7,101089;-1,408877
1,67437;-7,091732;-1,427927
1,68853;-7,082162;-1,44689
